Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_P,Three_P,Three_PA,Three_P_P,Two_P,Two_PA,Two_P_P,eFG_P,FT,FTA,FT_P,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl,Awards,player_id,player_full_name,first_name,last_name,is_active,team_id,team_full_name,abbreviation,nickname,city,state,year_founded
274.0,Trendon Watford,24.0,BRK,PF,11.0,0.0,199.0,33.0,76.0,0.434,7.0,25.0,0.28,26.0,51.0,0.51,0.48,27.0,32.0,0.844,4.0,32.0,36.0,15.0,5.0,4.0,16.0,30.0,100.0,0.0,,1630570.0,Trendon Watford,Trendon,Watford,1.0,1610612751.0,Brooklyn Nets,BRK,Nets,Brooklyn,New York,1976.0
275.0,Donovan Clingan,20.0,POR,C,17.0,6.0,289.0,40.0,76.0,0.526,3.0,9.0,0.333,37.0,67.0,0.552,0.546,16.0,22.0,0.727,54.0,60.0,114.0,5.0,9.0,37.0,17.0,50.0,99.0,0.0,,,,,,,1610612757.0,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0
276.0,Trey Lyles,29.0,SAC,PF,18.0,2.0,353.0,33.0,91.0,0.363,22.0,66.0,0.333,11.0,25.0,0.44,0.484,10.0,14.0,0.714,15.0,56.0,71.0,17.0,10.0,11.0,10.0,25.0,98.0,0.0,,1626168.0,Trey Lyles,Trey,Lyles,1.0,1610612758.0,Sacramento Kings,SAC,Kings,Sacramento,California,1948.0
277.0,Monte Morris,29.0,PHO,PG,18.0,0.0,214.0,35.0,75.0,0.467,14.0,38.0,0.368,21.0,37.0,0.568,0.56,14.0,16.0,0.875,4.0,21.0,25.0,30.0,7.0,3.0,8.0,10.0,98.0,0.0,,1628420.0,Monte Morris,Monte,Morris,1.0,1610612756.0,Phoenix Suns,PHO,Suns,Phoenix,Arizona,1968.0
278.0,Josh Okogie,26.0,PHO,SG,13.0,1.0,194.0,36.0,70.0,0.514,10.0,23.0,0.435,26.0,47.0,0.553,0.586,16.0,23.0,0.696,17.0,25.0,42.0,8.0,12.0,4.0,10.0,15.0,98.0,0.0,,1629006.0,Josh Okogie,Josh,Okogie,1.0,1610612756.0,Phoenix Suns,PHO,Suns,Phoenix,Arizona,1968.0
279.0,Jared Butler,24.0,WAS,SG,17.0,0.0,180.0,38.0,85.0,0.447,5.0,22.0,0.227,33.0,63.0,0.524,0.476,16.0,22.0,0.727,4.0,11.0,15.0,46.0,6.0,2.0,12.0,20.0,97.0,0.0,,1630215.0,Jared Butler,Jared,Butler,1.0,1610612764.0,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961.0
280.0,Quenton Jackson,26.0,IND,PG,14.0,7.0,240.0,38.0,73.0,0.521,9.0,23.0,0.391,29.0,50.0,0.58,0.582,12.0,17.0,0.706,10.0,17.0,27.0,28.0,9.0,5.0,11.0,28.0,97.0,0.0,,1631245.0,Quenton Jackson,Quenton,Jackson,1.0,1610612754.0,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0
281.0,Kris Murray,24.0,POR,SF,21.0,0.0,267.0,38.0,80.0,0.475,11.0,33.0,0.333,27.0,47.0,0.574,0.544,8.0,20.0,0.4,22.0,26.0,48.0,14.0,9.0,3.0,12.0,21.0,95.0,0.0,,,,,,,1610612757.0,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0
282.0,Luke Kennard,28.0,MEM,SG,14.0,0.0,276.0,31.0,72.0,0.431,21.0,52.0,0.404,10.0,20.0,0.5,0.576,11.0,14.0,0.786,7.0,27.0,34.0,41.0,8.0,2.0,10.0,9.0,94.0,0.0,,1628379.0,Luke Kennard,Luke,Kennard,1.0,1610612763.0,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995.0
283.0,Ben Simmons,28.0,BRK,PG,18.0,13.0,425.0,45.0,74.0,0.608,0.0,0.0,,45.0,74.0,0.608,0.608,4.0,8.0,0.5,18.0,84.0,102.0,115.0,15.0,11.0,44.0,48.0,94.0,0.0,,1627732.0,Ben Simmons,Ben,Simmons,1.0,1610612751.0,Brooklyn Nets,BRK,Nets,Brooklyn,New York,1976.0
284.0,Dean Wade,28.0,CLE,PF,17.0,9.0,376.0,31.0,86.0,0.36,24.0,73.0,0.329,7.0,13.0,0.538,0.5,8.0,19.0,0.421,11.0,67.0,78.0,25.0,18.0,6.0,5.0,25.0,94.0,0.0,,1629731.0,Dean Wade,Dean,Wade,1.0,1610612739.0,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970.0
285.0,Alex Caruso,30.0,OKC,SG,16.0,0.0,320.0,37.0,94.0,0.394,14.0,51.0,0.275,23.0,43.0,0.535,0.468,5.0,7.0,0.714,10.0,38.0,48.0,37.0,30.0,10.0,13.0,36.0,93.0,0.0,,1627936.0,Alex Caruso,Alex,Caruso,1.0,1610612760.0,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0
286.0,Gabe Vincent,28.0,LAL,PG,24.0,3.0,454.0,36.0,103.0,0.35,16.0,61.0,0.262,20.0,42.0,0.476,0.427,4.0,8.0,0.5,7.0,19.0,26.0,20.0,21.0,2.0,11.0,45.0,92.0,0.0,,1629216.0,Gabe Vincent,Gabe,Vincent,1.0,1610612747.0,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0
287.0,Reed Sheppard,20.0,HOU,PG,24.0,0.0,282.0,35.0,98.0,0.357,17.0,56.0,0.304,18.0,42.0,0.429,0.444,4.0,4.0,1.0,7.0,18.0,25.0,31.0,12.0,8.0,14.0,23.0,91.0,0.0,,,,,,,1610612745.0,Houston Rockets,HOU,Rockets,Houston,Texas,1967.0
288.0,Drew Eubanks,27.0,UTA,C,20.0,0.0,271.0,36.0,62.0,0.581,1.0,3.0,0.333,35.0,59.0,0.593,0.589,17.0,27.0,0.63,24.0,56.0,80.0,24.0,5.0,14.0,16.0,24.0,90.0,0.0,,1629234.0,Drew Eubanks,Drew,Eubanks,1.0,1610612762.0,Utah Jazz,UTA,Jazz,Utah,Utah,1974.0
289.0,Pelle Larsson,23.0,MIA,SG,15.0,0.0,245.0,34.0,63.0,0.54,11.0,29.0,0.379,23.0,34.0,0.676,0.627,11.0,20.0,0.55,10.0,20.0,30.0,22.0,9.0,0.0,8.0,32.0,90.0,0.0,,,,,,,1610612748.0,Miami Heat,MIA,Heat,Miami,Florida,1988.0
290.0,Nicolas Batum,36.0,LAC,PF,25.0,0.0,449.0,30.0,82.0,0.366,23.0,64.0,0.359,7.0,18.0,0.389,0.506,6.0,8.0,0.75,19.0,49.0,68.0,38.0,8.0,11.0,10.0,32.0,89.0,0.0,,201587.0,Nicolas Batum,Nicolas,Batum,1.0,1610612746.0,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0
291.0,Andrew Nembhard,25.0,IND,SG,11.0,11.0,272.0,34.0,78.0,0.436,7.0,23.0,0.304,27.0,55.0,0.491,0.481,14.0,16.0,0.875,2.0,24.0,26.0,48.0,12.0,0.0,17.0,21.0,89.0,0.0,,1629614.0,Andrew Nembhard,Andrew,Nembhard,1.0,1610612754.0,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0
292.0,Larry Nance Jr.,32.0,ATL,PF,10.0,2.0,165.0,34.0,54.0,0.63,16.0,29.0,0.552,18.0,25.0,0.72,0.778,3.0,4.0,0.75,10.0,16.0,26.0,14.0,9.0,3.0,4.0,13.0,87.0,0.0,,1626204.0,Larry Nance Jr.,Larry,Nance Jr.,1.0,1610612737.0,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949.0
293.0,Sandro Mamukelashvili,25.0,SAS,PF,17.0,0.0,160.0,29.0,51.0,0.569,16.0,35.0,0.457,13.0,16.0,0.813,0.725,11.0,15.0,0.733,10.0,39.0,49.0,6.0,3.0,5.0,9.0,11.0,85.0,0.0,,1630572.0,Sandro Mamukelashvili,Sandro,Mamukelashvili,1.0,1610612759.0,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976.0
294.0,Andre Jackson Jr.,23.0,MIL,SG,23.0,15.0,407.0,32.0,79.0,0.405,15.0,41.0,0.366,17.0,38.0,0.447,0.5,4.0,8.0,0.5,16.0,51.0,67.0,30.0,17.0,7.0,31.0,58.0,83.0,0.0,,,,,,,1610612749.0,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0
